Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Driver,Normal,Not a Pedestrian,No priority to vehicle,18,0,Evening,0,0,Slight Injury
Friday,Over 51,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,18,0,Evening,0,0,Slight Injury
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,Normal,Not a Pedestrian,Turnover,18,0,Evening,0,0,Slight Injury
Friday,Over 51,Male,High school,Employee,5-10yr,Stationwagen,Owner,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,18,0,Evening,0,0,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,No distancing,1,20,Night,1,1,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driver,Normal,Unknown or other,No distancing,7,10,Morning,0,0,Slight Injury
Thursday,31-50,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Employee,Normal,Not a Pedestrian,Changing lane to the left,7,10,Morning,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to vehicle,8,23,Morning,0,0,Slight Injury
Tuesday,,Male,Junior high school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving at high speed,8,23,Morning,0,0,Slight Injury
Tuesday,18-30,Male,Writing & reading,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Overtaking,17,25,Evening,0,0,Slight Injury
Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Other,17,25,Evening,0,0,Slight Injury
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,Stopping,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,8,17,Morning,0,0,Serious Injury
Thursday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,,Normal,Not a Pedestrian,No priority to pedestrian,18,37,Evening,0,0,Serious Injury
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,Normal,Not a Pedestrian,Changing lane to the left,18,37,Evening,0,0,Serious Injury
Thursday,Under 18,Male,Elementary school,Employee,2-5yr,Automobile,Organization,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,No distancing,18,37,Evening,0,0,Serious Injury
Wednesday,,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,11,0,Afternoon,0,0,Serious Injury
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,No defect,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,9,30,Morning,0,1,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Governmental,,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,,,Not a Pedestrian,Other,9,30,Morning,0,1,Slight Injury
Monday,,Female,Junior high school,Owner,Below 1yr,Automobile,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,14,35,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,,,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driver,Normal,Not a Pedestrian,Moving Backward,14,35,Afternoon,0,0,Slight Injury
Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,18,5,Evening,0,0,Slight Injury
Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,5,Evening,0,0,Slight Injury
Wednesday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,5,Evening,0,0,Slight Injury
Wednesday,Over 51,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,18,5,Evening,0,0,Slight Injury
Wednesday,18-30,Male,Elementary school,Other,Above 10yr,Long lorry,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,Changing lane to the left,12,55,Afternoon,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Turbo,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,12,55,Afternoon,0,0,Slight Injury
Tuesday,,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,0,36,Night,1,0,Serious Injury
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,0,36,Night,1,0,Serious Injury
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,0,36,Night,1,0,Serious Injury
Sunday,,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,No distancing,15,42,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,15,42,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to vehicle,1,15,Night,1,1,Serious Injury
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,,Owner,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,1,15,Night,1,1,Serious Injury
Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Stationwagen,Owner,,,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,No priority to pedestrian,1,25,Night,1,1,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,2-5yr,,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,Getting off,Driver,Normal,Not a Pedestrian,No priority to pedestrian,1,25,Night,1,1,Slight Injury
Sunday,Under 18,Male,High school,Employee,2-5yr,Automobile,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,Other,Normal,Not a Pedestrian,No priority to vehicle,21,0,Night,1,1,Slight Injury
Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,21,0,Night,1,1,Slight Injury
Wednesday,18-30,Male,High school,Employee,5-10yr,Long lorry,Owner,,,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,16,50,Evening,0,0,Slight Injury
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,16,50,Evening,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Unknown or other,Moving Backward,16,50,Evening,0,0,Slight Injury
Tuesday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Governmental,,,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,14,40,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,High school,Employee,No Licence,Lorry (11?40Q),Owner,,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving to the left,14,40,Afternoon,0,0,Slight Injury
Friday,,Female,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,,Vehicle with vehicle collision,Going straight,Driver,,Not a Pedestrian,Driving to the left,2,0,Night,1,0,Slight Injury
Friday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,,Vehicle with vehicle collision,Going straight,,,Unknown or other,No priority to pedestrian,2,0,Night,1,0,Slight Injury
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unemployed,Normal,Not a Pedestrian,Changing lane to the left,18,10,Evening,0,1,Serious Injury
Saturday,,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Changing lane to the right,18,10,Evening,0,1,Serious Injury
Wednesday,31-50,Male,,,,Long lorry,Owner,,No defect,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,19,15,Evening,0,0,Slight Injury
Wednesday,,Male,,,,Long lorry,Owner,,,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Turnover,Driver,Normal,Not a Pedestrian,No distancing,19,15,Evening,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Getting off the vehicle improperly,6,28,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,6,28,Morning,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Owner,Above 10yr,,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,13,15,Afternoon,0,0,Slight Injury
Monday,18-30,Male,,,,Other,Owner,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,13,15,Afternoon,0,0,Slight Injury
